Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Aaron Ciammaglichella,it ITA,19,2005,MF,Torino,it Serie A,1,0,1,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Torino,,it Serie A,
Aaron Malouda,fr FRA,18,2005,FW,Lille,fr Ligue 1,1,0,2,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lille,,fr Ligue 1,
Abdallah Sima,sn SEN,23,2001,"FW,MF",Brest,fr Ligue 1,27,14,1238,7,2,9,89.35349940688019,69.42467378410439,84.4306049822064,Brest,,fr Ligue 1,
Abde Ezzalzouli,ma MAR,22,2001,"FW,MF",Betis,es La Liga,32,23,1984,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Betis,,es La Liga,
Abderrahman Rebbach,dz ALG,25,1998,"FW,MF",Alavés,es La Liga,8,4,385,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Alavés,,es La Liga,
Abdou Harroui,nl NED,26,1998,"MF,FW",Hellas Verona,it Serie A,10,5,463,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Hellas Verona,,it Serie A,
Abdoulaye Doucouré,ml MLI,31,1993,MF,Everton,eng Premier League,33,31,2564,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Everton,,eng Premier League,
Abdoulaye Keita,es ESP,21,2002,"FW,MF",Getafe,es La Liga,3,1,95,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Getafe,,es La Liga,
Abdoulaye Touré,gn GUI,30,1994,MF,Le Havre,fr Ligue 1,28,26,2324,10,1,11,94.54329774614472,53.084223013048636,89.1459074733096,Le Havre,,fr Ligue 1,
Abdoulie Ceesay,gm GAM,20,2004,FW,St. Pauli,de Bundesliga,7,0,60,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,St. Pauli,,de Bundesliga,
Abdul Fatawu Issahaku,gh GHA,20,2004,FW,Leicester City,eng Premier League,11,6,579,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Leicester City,,eng Premier League,
Abdón Prats,es ESP,31,1992,"FW,MF",Mallorca,es La Liga,24,3,456,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Mallorca,,es La Liga,
Abel Ruiz,es ESP,24,2000,FW,Girona,es La Liga,23,17,1346,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Girona,,es La Liga,
Aboubacar Bassinga,ci CIV,19,2005,MF,Las Palmas,es La Liga,1,0,4,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Adam Armstrong,eng ENG,27,1997,"FW,MF",Southampton,eng Premier League,20,15,1248,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Southampton,,eng Premier League,
